CAR TYPE,CC AND FUEL TYPE,ASSEMBLER,BRAND,TYPE / MODEL,CC,TRANS,"FUEL (G/D)","TANK CAPT","GVW (Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL BASE","DIMENSION P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Segmt Share,Sedan Share,TOTAL 2020
,,,,"Pajero Sport 2.5L EXCEED (4x2) 5A""",2500,AT,D,70,2710,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X2,FR,0,4,4,CKD,INA,-,-,88,2,-,-,-,-,-,-,-,-,"0,2%","0,0%",90
,,PT. Mercedes Benz Indonesia,MERCEDES-BENZ PC,GLC 200 AMG ( FL ),1991,AT,G,66,2360,9,255/45 R20,184,2873,"4,656 x 2,096 x 1,639",5,4X2,FR,0,5,4,CKD,0,7,4,59,-,-,24,67,100,31,5,2,-,"0,6%","0,1%",299
,,PT. Suzuki Indomobil Motor,SUZUKI,APV0GE,1595,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,210,252,146,40,2,-,148,-,31,48,92,108,"2,2%","0,3%",1.077
,,,,APV0GL,1595,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,112,81,70,11,-,-,36,-,1,1,54,103,"0,9%","0,1%",469
,,,,APV0GX,1595,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,-,-,-,-,-,-,14,-,-,-,-,-,"0,0%","0,0%",14
,,,,APV SGX,1595,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,7,4X2,FR,0,4,4,CKD,INA,55,21,20,5,-,-,-,-,1,-,31,15,"0,3%","0,0%",148
,,PT. Toyota Motor Mftg Indonesia,TOYOTA,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,9,1,29,12,29,10,1,-,-,-,-,-,"0,2%","0,0%",91
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,51,83,186,"0,6%","0,1%",320
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,171,189,141,15,5,-,166,94,-,-,-,-,"1,6%","0,2%",781
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,853,552,858,73,18,1,438,525,-,-,-,-,"6,7%","0,8%",3.318
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,33,260,498,592,"2,8%","0,4%",1.383
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,360,225,358,32,10,-,65,-,-,-,-,-,"2,1%","0,3%",1.050
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,8,418,746,911,"4,2%","0,5%",2.083
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,370,743,598,56,15,2,778,405,-,-,-,-,"6,0%","0,8%",2.967
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,3,5,10,5,"0,0%","0,0%",23
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,832,957,888,87,25,3,965,622,-,-,-,-,"8,8%","1,1%",4.379
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,17,371,647,514,"3,1%","0,4%",1.549
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,53,46,58,8,2,11,85,-,50,53,51,49,"0,9%","0,1%",466
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,12,30,18,8,29,-,-,2,75,81,55,"0,6%","0,1%",310
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,30,24,27,-,-,-,10,-,-,-,-,-,"0,2%","0,0%",91
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,45,70,44,5,"0,3%","0,0%",164
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,43,30,30,5,1,3,6,5,-,-,-,-,"0,2%","0,0%",123
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,1,-,-,-,-,-,-,-,-,"0,0%","0,0%",1
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,46,1,16,8,15,10,3,-,11,48,101,47,"0,6%","0,1%",306
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,133,148,117,11,1,-,26,-,-,-,-,-,"0,9%","0,1%",436
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,498,829,588,92,31,10,91,76,111,321,556,432,"7,3%","0,9%",3.635
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,203,128,119,16,7,3,29,-,5,288,308,299,"2,8%","0,4%",1.405
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,291,250,149,29,9,-,53,-,-,-,-,-,"1,6%","0,2%",781
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,379,566,717,87,17,2,92,-,10,373,499,378,"6,3%","0,8%",3.120
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,1,-,2,16,"0,0%","0,0%",19
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,3,3,3,1,-,2,-,-,-,-,-,-,"0,0%","0,0%",12
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,1,-,"0,0%","0,0%",1
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,1,2,4,1,-,-,-,-,-,"0,0%","0,0%",8
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,1,28,"0,1%","0,0%",29
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,9,10,7,-,-,-,-,-,-,-,-,-,"0,1%","0,0%",26
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,389,388,275,91,37,126,350,14,100,217,208,195,"4,8%","0,6%",2.390
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,20,30,30,-,-,-,25,-,-,-,-,-,"0,2%","0,0%",105
,,,,INNOVA,0,0,G,55,1640,0,205/65 R15,102 / 3600,2750,4585X1775X1750,7,4X2,FR,5,5,4,CKD,INA,44,67,31,6,-,7,28,-,-,-,-,-,"0,4%","0,0%",183
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,241,118,139,3,3,154,-,-,-,-,-,-,"1,3%","0,2%",658
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,386,248,192,2,5,188,-,-,-,-,-,-,"2,1%","0,3%",1.021
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,1.168,615,598,16,20,604,-,-,-,-,-,-,"6,1%","0,8%",3.021
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,28,80,49,29,7,61,-,-,-,-,-,-,"0,5%","0,1%",254
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,967,1.420,1.551,843,185,684,317,-,-,-,-,-,"12,1%","1,5%",5.967
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,16,31,43,20,5,32,-,-,-,-,-,-,"0,3%","0,0%",147
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,20,52,47,19,4,58,-,-,-,-,-,-,"0,4%","0,1%",200
,,PT.SGMW Iindonesia,WULING,Cortez 1.8C AT,1800,AT,G,52,0,4058,205/55 R16,129,2750,4780X1816X1755,7,4X2,FF,0,5,4,CKD,INA,-,2,17,3,-,-,-,-,-,-,-,-,"0,0%","0,0%",22
,CC 2.501 - 3.000  [G],PT. Toyota Motor Mftg Indonesia,TOYOTA,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,4,-,13,-,-,-,-,-,-,"0,1%","0,0%",17
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,2,6,4,2,1,5,-,-,-,-,-,-,"0,1%","0,0%",20
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,26,43,70,22,29,34,-,-,-,-,-,-,"1,5%","0,1%",224
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,52,39,29,17,5,43,-,-,-,-,-,-,"1,3%","0,0%",185
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,3,24,93,78,86,38,"2,2%","0,1%",322
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,1,9,9,7,8,"0,2%","0,0%",35
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,11,16,8,4,1,6,-,-,-,-,-,-,"0,3%","0,0%",46
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,5,4,3,10,-,-,-,-,-,-,"0,1%","0,0%",22
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,31,11,16,-,-,5,-,-,-,-,-,-,"0,4%","0,0%",63
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,363,325,307,201,40,348,-,-,-,-,-,-,"10,8%","0,4%",1.584
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,40,36,27,-,2,30,-,-,-,-,-,-,"0,9%","0,0%",135
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,221,153,140,40,13,27,-,-,-,-,-,-,"4,0%","0,2%",594
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,2,9,10,3,2,7,-,-,-,-,-,-,"0,2%","0,0%",33
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,58,94,49,30,7,43,-,-,-,-,-,-,"1,9%","0,1%",281
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,"0,0%","0,0%",1
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,8,192,6,98,100,124,"3,6%","0,1%",528
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,18,475,308,521,522,490,"15,9%","0,6%",2.334
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,27,52,1,19,-,"0,7%","0,0%",100
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,10,247,62,262,264,229,"7,3%","0,3%",1.074
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,2,-,36,34,21,"0,6%","0,0%",93
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,30,227,844,1.053,1.552,"25,2%","0,9%",3.707
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,4,42,29,36,43,33,"1,3%","0,0%",187
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,1,-,8,1,10,"0,1%","0,0%",21
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,1,34,397,158,234,252,"7,3%","0,3%",1.076
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,1,33,24,33,11,"0,7%","0,0%",102
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,2,103,64,32,54,"1,7%","0,1%",255
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,5,-,12,6,3,"0,2%","0,0%",26
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,11,37,56,77,67,"1,7%","0,1%",248
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,3,79,263,229,585,95,"8,5%","0,3%",1.254
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,5,-,10,10,61,59,"1,0%","0,0%",145
,,,,FORTUNER,0,0,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,-,-,"0,0%","0,0%",1
4X4 TYPE,"CC 1.501 - 3.000 [G]
/ 2.500 [D]",PT. Gaya Motor,BMW,BMW X3,3000,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,5,4,CKD,INA,72,21,2,-,-,1,-,1,-,-,-,20,"1,4%","1,0%",117
,,,,BMW X5,3000,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,5,4,CKD,INA,23,44,29,15,-,36,59,30,47,3,24,40,"4,3%","2,9%",350
,,,,BMW X7,2998,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,14,15,14,"0,5%","0,4%",43
,,"PT. Mercedes Benz
Indonesia",MERCEDES-BENZ PC,GLE 450 (V167),2999,AT,G,85,3000,9,"275/45, 315/40 R21",367,2995,"4,924 x 2,157 x 1,795",7,4X4,4WD,0,5,4,CBU,0,4,-,11,-,-,34,16,13,38,20,30,13,"2,2%","1,5%",179
,,,,GLS 450 (X167),2996,AT,G,100,3250,9,295/40 R21,333,3075,"5,130 x 2,141 x 1,850",7,4X4,4WD,0,5,4,CKD,0,-,-,-,-,-,13,6,6,18,14,13,13,"1,0%","0,7%",83
,,PT. Mitsubishi Motors Krama Yudha Indonesia,MITSUBISHI MOTORS,Pajero Sport 2.4L DAKAR (4x4) 8AT,2442,AT,D,70,2710,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X4,4WD,0,4,4,CKD,INA,30,-,60,23,-,-,37,28,2,-,-,-,"2,2%","1,5%",180
,,,,Pajero Sport 2.4L DAKAR (4x4) 8AT,2500,MT,D,70,2710,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X4,4WD,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",-
,,,,Pajero Sport 2.5L GLX (4x4) 5MT,2477,AT,D,68,2710,4090,265/70 R16,136,2800,4785 X 1815 X 1800,7,4X4,4WD,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,82,8,-,"1,1%","0,7%",90
,,PT. Toyota Motor Mftg Ind Indonesia,TOYOTA,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,1,55,105,95,119,85,"5,6%","3,8%",460
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,261,306,274,157,48,356,-,-,-,-,-,-,"17,1%","11,6%",1.402
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,18,12,8,7,3,22,-,-,-,-,-,-,"0,9%","0,6%",70
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,3,4,1,1,"0,1%","0,1%",9
,,,,FORTUNER,2400,AT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,31,32,45,13,2,30,-,-,-,-,-,-,"1,9%","1,3%",153
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,11,15,9,5,-,12,-,-,-,-,-,-,"0,6%","0,4%",52
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,-,3,6,21,31,126,"2,3%","1,6%",187
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,-,3,4,21,9,9,"0,6%","0,4%",46
,,,,FORTUNER,2700,MT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,30,45,45,19,4,24,-,-,-,-,-,-,"2,0%","1,4%",167
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,588,375,426,285,76,619,-,-,-,-,-,-,"28,9%","19,6%",2.369
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,8,18,14,2,2,1,-,-,-,-,-,-,"0,5%","0,4%",45
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,2,7,4,-,-,-,-,-,-,-,-,-,"0,2%","0,1%",13
,,,,FORTUNER,2700,0,0,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,34,26,5,15,26,2,"1,3%","0,9%",108
,,,,FORTUNER,2700,0,0,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,135,85,329,451,278,715,"24,3%","16,5%",1.993
,,,,FORTUNER,2400,MT,D,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,10,10,-,"0,2%","0,2%",20
,,,,FORTUNER,2700,AT,G,80,0,4100,265 / 60 R18,149.3 / 3400,2745,4795x1855x1835,7,4X4,FWD,0,5,4,CKD,INA,-,-,-,-,-,-,5,26,-,-,7,29,"0,8%","0,6%",67
